#proteinId	gotermId	goName	gotermType	goAcc
81	9684	pyrophosphatase activity	molecular_function	GO:0016462
81	11455	dihydroneopterin monophosphate phosphatase activity	molecular_function	GO:0019176
81	11456	dihydroneopterin triphosphate pyrophosphohydrolase activity	molecular_function	GO:0019177
81	18631	ATP-dependent 5'-3' DNA helicase activity	molecular_function	GO:0043141
84	162	nucleotide binding	molecular_function	GO:0000166
84	3172	aminoacyl-tRNA ligase activity	molecular_function	GO:0004812
84	3736	ATP binding	molecular_function	GO:0005524
84	3930	cytoplasm	cellular_component	GO:0005737
84	4556	translation	biological_process	GO:0006412
84	4561	tRNA aminoacylation for protein translation	biological_process	GO:0006418
84	3724	calcium ion binding	molecular_function	GO:0005509
84	3753	calcium-dependent phospholipid binding	molecular_function	GO:0005544
84	3183	leucine-tRNA ligase activity	molecular_function	GO:0004823
84	4572	leucyl-tRNA aminoacylation	biological_process	GO:0006429
85	6724	nucleoside metabolic process	biological_process	GO:0009116
85	281	magnesium ion binding	molecular_function	GO:0000287
85	3115	ribose phosphate diphosphokinase activity	molecular_function	GO:0004749
85	6762	ribonucleoside monophosphate biosynthetic process	biological_process	GO:0009156
85	19387	cellular biosynthetic process	biological_process	GO:0044249
85	6770	nucleotide biosynthetic process	biological_process	GO:0009165
90	3838	nucleus	cellular_component	GO:0005634
90	5939	zinc ion binding	molecular_function	GO:0008270
90	13391	transcription regulator activity	molecular_function	GO:0030528
90	19908	regulation of transcription	biological_process	GO:0045449
92	3736	ATP binding	molecular_function	GO:0005524
92	10082	ATPase activity	molecular_function	GO:0016887
92	162	nucleotide binding	molecular_function	GO:0000166
92	10269	nucleoside-triphosphatase activity	molecular_function	GO:0017111
94	3827	intracellular	cellular_component	GO:0005622
94	3923	nucleolus	cellular_component	GO:0005730
94	5951	cell proliferation	biological_process	GO:0008283
108	2244	microtubule motor activity	molecular_function	GO:0003777
108	3736	ATP binding	molecular_function	GO:0005524
108	4051	microtubule associated complex	cellular_component	GO:0005875
108	5113	microtubule-based movement	biological_process	GO:0007018
108	6221	plus-end-directed microtubule motor activity	molecular_function	GO:0008574
115	281	magnesium ion binding	molecular_function	GO:0000287
115	9940	transferase activity	molecular_function	GO:0016740
115	13821	thiamin pyrophosphate binding	molecular_function	GO:0030976
115	2290	catalytic activity	molecular_function	GO:0003824
115	2432	acetolactate synthase activity	molecular_function	GO:0003984
115	6691	branched chain family amino acid biosynthetic process	biological_process	GO:0009082
115	23919	FAD binding	molecular_function	GO:0050660
122	3736	ATP binding	molecular_function	GO:0005524
122	4591	protein folding	biological_process	GO:0006457
122	24336	unfolded protein binding	molecular_function	GO:0051082
132	3113	ribokinase activity	molecular_function	GO:0004747
132	4182	D-ribose metabolic process	biological_process	GO:0006014
140	10079	carbon-nitrogen ligase activity, with glutamine as amido-N-donor	molecular_function	GO:0016884
140	2290	catalytic activity	molecular_function	GO:0003824
140	5830	metabolic process	biological_process	GO:0008152
141	2196	transcription factor activity	molecular_function	GO:0003700
141	3838	nucleus	cellular_component	GO:0005634
141	4504	regulation of transcription, DNA-dependent	biological_process	GO:0006355
141	5939	zinc ion binding	molecular_function	GO:0008270
141	2176	DNA binding	molecular_function	GO:0003677
141	4499	transcription	biological_process	GO:0006350
147	2933	hydrolase activity, hydrolyzing O-glycosyl compounds	molecular_function	GO:0004553
147	4143	carbohydrate metabolic process	biological_process	GO:0005975
147	6082	beta-glucosidase activity	molecular_function	GO:0008422
148	3721	iron ion binding	molecular_function	GO:0005506
148	10326	cysteine dioxygenase activity	molecular_function	GO:0017172
148	20876	L-cysteine metabolic process	biological_process	GO:0046439
150	3043	protein kinase activity	molecular_function	GO:0004672
150	3736	ATP binding	molecular_function	GO:0005524
150	4602	protein amino acid phosphorylation	biological_process	GO:0006468
150	3079	protein-tyrosine kinase activity	molecular_function	GO:0004713
150	3045	protein serine/threonine kinase activity	molecular_function	GO:0004674
150	6102	phosphofructokinase activity	molecular_function	GO:0008443
150	6245	phosphorylase kinase regulator activity	molecular_function	GO:0008607
150	6438	cobinamide kinase activity	molecular_function	GO:0008819
150	9578	phosphatidylinositol phosphate kinase activity	molecular_function	GO:0016307
150	9751	cyclin-dependent protein kinase regulator activity	molecular_function	GO:0016538
150	11022	phenol kinase activity	molecular_function	GO:0018720
150	12155	cyclin-dependent protein kinase activating kinase regulator activity	molecular_function	GO:0019914
150	15776	inositol tetrakisphosphate 2-kinase activity	molecular_function	GO:0032942
150	17186	phosphoinositide 3-kinase activity	molecular_function	GO:0035004
150	18069	eukaryotic elongation factor-2 kinase regulator activity	molecular_function	GO:0042556
150	18070	eukaryotic elongation factor-2 kinase activator activity	molecular_function	GO:0042557
150	19207	LPPG:FO 2-phospho-L-lactate transferase activity	molecular_function	GO:0043743
150	19235	cytidine kinase activity	molecular_function	GO:0043771
150	19262	glycerate 2-kinase activity	molecular_function	GO:0043798
150	19305	(S)-lactate 2-kinase activity	molecular_function	GO:0043841
150	24976	polynucleotide kinase activity	molecular_function	GO:0051731
150	24979	ATP-dependent polynucleotide kinase activity	molecular_function	GO:0051734
150	24980	GTP-dependent polynucleotide kinase activity	molecular_function	GO:0051735
151	109	succinate dehydrogenase activity	molecular_function	GO:0000104
151	4264	tricarboxylic acid cycle	biological_process	GO:0006099
151	4283	electron transport	biological_process	GO:0006118
151	9320	membrane	cellular_component	GO:0016020
151	19749	succinate dehydrogenase complex	cellular_component	GO:0045281
151	19750	plasma membrane succinate dehydrogenase complex	cellular_component	GO:0045282
151	5855	succinate dehydrogenase (ubiquinone) activity	molecular_function	GO:0008177
152	2227	structural constituent of ribosome	molecular_function	GO:0003735
152	3827	intracellular	cellular_component	GO:0005622
152	4025	ribosome	cellular_component	GO:0005840
152	4556	translation	biological_process	GO:0006412
155	251	allantoin catabolic process	biological_process	GO:0000256
155	3206	ureidoglycolate hydrolase activity	molecular_function	GO:0004848
158	2916	ribonuclease P activity	molecular_function	GO:0004526
159	2233	peptidyl-prolyl cis-trans isomerase activity	molecular_function	GO:0003755
159	4591	protein folding	biological_process	GO:0006457
159	2975	cyclophilin	molecular_function	GO:0004600
159	12948	FK506-sensitive peptidyl-prolyl cis-trans isomerase	molecular_function	GO:0030051
159	17567	cyclophilin-type peptidyl-prolyl cis-trans isomerase activity	molecular_function	GO:0042027
163	144	exocyst	cellular_component	GO:0000145
163	5010	vesicle docking during exocytosis	biological_process	GO:0006904
163	8400	protein transport	biological_process	GO:0015031
165	9985	hydrolase activity	molecular_function	GO:0016787
168	2907	nicotinate phosphoribosyltransferase activity	molecular_function	GO:0004516
168	11623	nicotinate nucleotide biosynthetic process	biological_process	GO:0019357
168	11629	pyridine nucleotide biosynthetic process	biological_process	GO:0019363
173	9320	membrane	cellular_component	GO:0016020
173	12906	metal ion transport	biological_process	GO:0030001
173	21296	metal ion transmembrane transporter activity	molecular_function	GO:0046873
176	3547	ion channel activity	molecular_function	GO:0005216
176	4928	ion transport	biological_process	GO:0006811
176	9320	membrane	cellular_component	GO:0016020
176	3546	transporter activity	molecular_function	GO:0005215
176	4927	transport	biological_process	GO:0006810
176	9321	integral to membrane	cellular_component	GO:0016021
192	2196	transcription factor activity	molecular_function	GO:0003700
192	3838	nucleus	cellular_component	GO:0005634
192	4504	regulation of transcription, DNA-dependent	biological_process	GO:0006355
192	19030	sequence-specific DNA binding	molecular_function	GO:0043565
206	8501	citrate transmembrane transporter activity	molecular_function	GO:0015137
206	9058	citrate transport	biological_process	GO:0015746
206	9321	integral to membrane	cellular_component	GO:0016021
207	3838	nucleus	cellular_component	GO:0005634
215	281	magnesium ion binding	molecular_function	GO:0000287
215	3109	pyruvate kinase activity	molecular_function	GO:0004743
215	4261	glycolysis	biological_process	GO:0006096
215	13801	potassium ion binding	molecular_function	GO:0030955
215	2290	catalytic activity	molecular_function	GO:0003824
223	92	M phase of mitotic cell cycle	biological_process	GO:0000087
223	3091	protein tyrosine phosphatase activity	molecular_function	GO:0004725
223	3827	intracellular	cellular_component	GO:0005622
223	4604	protein amino acid dephosphorylation	biological_process	GO:0006470
223	3093	prenylated protein tyrosine phosphatase activity	molecular_function	GO:0004727
228	4993	regulation of pH	biological_process	GO:0006885
228	8649	solute:hydrogen antiporter activity	molecular_function	GO:0015299
228	9321	integral to membrane	cellular_component	GO:0016021
235	19912	cell redox homeostasis	biological_process	GO:0045454
235	2234	protein disulfide isomerase activity	molecular_function	GO:0003756
238	9710	oxidoreductase activity	molecular_function	GO:0016491
239	2175	nucleic acid binding	molecular_function	GO:0003676
239	2792	helicase activity	molecular_function	GO:0004386
239	3736	ATP binding	molecular_function	GO:0005524
239	5716	ATP-dependent helicase activity	molecular_function	GO:0008026
239	611	diacylglycerol pyrophosphate phosphatase activity	molecular_function	GO:0000810
239	3147	thiamin-pyrophosphatase activity	molecular_function	GO:0004787
239	6073	8-oxo-7,8-dihydroguanine triphosphatase activity	molecular_function	GO:0008413
239	6379	UDP-2,3-diacylglucosamine hydrolase activity	molecular_function	GO:0008758
239	6416	bis(5'-nucleosyl)-tetraphosphatase activity	molecular_function	GO:0008796
239	6447	dATP pyrophosphohydrolase activity	molecular_function	GO:0008828
239	9684	pyrophosphatase activity	molecular_function	GO:0016462
239	11455	dihydroneopterin monophosphate phosphatase activity	molecular_function	GO:0019176
239	11456	dihydroneopterin triphosphate pyrophosphohydrolase activity	molecular_function	GO:0019177
239	18631	ATP-dependent 5'-3' DNA helicase activity	molecular_function	GO:0043141
240	3838	nucleus	cellular_component	GO:0005634
240	4504	regulation of transcription, DNA-dependent	biological_process	GO:0006355
250	4050	microtubule	cellular_component	GO:0005874
250	5116	tubulin folding	biological_process	GO:0007021
250	24336	unfolded protein binding	molecular_function	GO:0051082
253	4513	rRNA processing	biological_process	GO:0006364
253	14875	small subunit processome	cellular_component	GO:0032040
253	2313	1-alkyl-2-acetylglycerophosphocholine esterase activity	molecular_function	GO:0003847
254	2745	glucan 1,4-alpha-glucosidase activity	molecular_function	GO:0004339
274	5830	metabolic process	biological_process	GO:0008152
274	5846	methyltransferase activity	molecular_function	GO:0008168
274	4896	porphyrin biosynthetic process	biological_process	GO:0006779
274	3209	uroporphyrin-III C-methyltransferase activity	molecular_function	GO:0004851
274	11620	siroheme biosynthetic process	biological_process	GO:0019354
274	2290	catalytic activity	molecular_function	GO:0003824
274	3708	binding	molecular_function	GO:0005488
275	9962	transferase activity, transferring pentosyl groups	molecular_function	GO:0016763
275	3097	purine-nucleoside phosphorylase activity	molecular_function	GO:0004731
275	4301	nucleobase, nucleoside, nucleotide and nucleic acid metabolic process	biological_process	GO:0006139
282	2290	catalytic activity	molecular_function	GO:0003824
282	19375	cellular metabolic process	biological_process	GO:0044237
282	23921	coenzyme binding	molecular_function	GO:0050662
282	3708	binding	molecular_function	GO:0005488
282	5830	metabolic process	biological_process	GO:0008152
282	20008	cinnamyl-alcohol dehydrogenase activity	molecular_function	GO:0045551
284	162	nucleotide binding	molecular_function	GO:0000166
284	2290	catalytic activity	molecular_function	GO:0003824
284	19375	cellular metabolic process	biological_process	GO:0044237
293	3935	mitochondrial inner membrane	cellular_component	GO:0005743
293	5102	mitochondrion organization and biogenesis	biological_process	GO:0007005
296	4499	transcription	biological_process	GO:0006350
306	3838	nucleus	cellular_component	GO:0005634
306	10375	histone-lysine N-methyltransferase activity	molecular_function	GO:0018024
310	2176	DNA binding	molecular_function	GO:0003677
310	3736	ATP binding	molecular_function	GO:0005524
310	4429	DNA replication initiation	biological_process	GO:0006270
310	5778	DNA-dependent ATPase activity	molecular_function	GO:0008094
310	162	nucleotide binding	molecular_function	GO:0000166
310	10269	nucleoside-triphosphatase activity	molecular_function	GO:0017111
310	3838	nucleus	cellular_component	GO:0005634
310	2450	ATP-dependent DNA helicase activity	molecular_function	GO:0004003
310	2451	ATP-dependent RNA helicase activity	molecular_function	GO:0004004
310	5716	ATP-dependent helicase activity	molecular_function	GO:0008026
310	5860	RNA-dependent ATPase activity	molecular_function	GO:0008186
310	8800	protein-transmembrane transporting ATPase activity	molecular_function	GO:0015462
310	10082	ATPase activity	molecular_function	GO:0016887
310	10273	single-stranded DNA-dependent ATP-dependent DNA helicase activity	molecular_function	GO:0017116
310	18132	ATPase activity, coupled	molecular_function	GO:0042623
310	18133	ATPase activity, uncoupled	molecular_function	GO:0042624
310	18134	ATPase activity, coupled to transmembrane movement of ions	molecular_function	GO:0042625
310	18135	ATPase activity, coupled to transmembrane movement of substances	molecular_function	GO:0042626
312	4591	protein folding	biological_process	GO:0006457
312	2233	peptidyl-prolyl cis-trans isomerase activity	molecular_function	GO:0003755
312	2975	cyclophilin	molecular_function	GO:0004600
312	12948	FK506-sensitive peptidyl-prolyl cis-trans isomerase	molecular_function	GO:0030051
312	17567	cyclophilin-type peptidyl-prolyl cis-trans isomerase activity	molecular_function	GO:0042027
315	2246	actin binding	molecular_function	GO:0003779
315	5107	cytoskeleton organization and biogenesis	biological_process	GO:0007010
315	3708	binding	molecular_function	GO:0005488
316	3019	phosphorylase activity	molecular_function	GO:0004645
316	4143	carbohydrate metabolic process	biological_process	GO:0005975
316	13063	pyridoxal phosphate binding	molecular_function	GO:0030170
316	5859	glycogen phosphorylase activity	molecular_function	GO:0008184
326	3838	nucleus	cellular_component	GO:0005634
329	2175	nucleic acid binding	molecular_function	GO:0003676
331	2176	DNA binding	molecular_function	GO:0003677
331	2356	DNA-directed RNA polymerase activity	molecular_function	GO:0003899
331	4499	transcription	biological_process	GO:0006350
331	2357	DNA-directed RNA polymerase I activity	molecular_function	GO:0003900
331	2358	DNA-directed RNA polymerase II activity	molecular_function	GO:0003901
331	2359	DNA-directed RNA polymerase III activity	molecular_function	GO:0003902
331	16888	RNA polymerase activity	molecular_function	GO:0034062
342	10048	isomerase activity	molecular_function	GO:0016853
342	19912	cell redox homeostasis	biological_process	GO:0045454
342	3972	endoplasmic reticulum	cellular_component	GO:0005783
342	2234	protein disulfide isomerase activity	molecular_function	GO:0003756
345	3708	binding	molecular_function	GO:0005488
346	3227	cysteine protease inhibitor activity	molecular_function	GO:0004869
350	9985	hydrolase activity	molecular_function	GO:0016787
367	2216	RNA binding	molecular_function	GO:0003723
367	2228	translation initiation factor activity	molecular_function	GO:0003743
367	4032	eukaryotic translation initiation factor 2 complex	cellular_component	GO:0005850
367	4556	translation	biological_process	GO:0006412
367	3027	polyribonucleotide nucleotidyltransferase activity	molecular_function	GO:0004654
381	2216	RNA binding	molecular_function	GO:0003723
381	2915	ribonuclease III activity	molecular_function	GO:0004525
381	4541	RNA processing	biological_process	GO:0006396
381	2218	double-stranded RNA binding	molecular_function	GO:0003725
381	3827	intracellular	cellular_component	GO:0005622
382	4604	protein amino acid dephosphorylation	biological_process	GO:0006470
382	5817	protein tyrosine/serine/threonine phosphatase activity	molecular_function	GO:0008138
382	9582	dephosphorylation	biological_process	GO:0016311
382	9988	phosphoric monoester hydrolase activity	molecular_function	GO:0016791
382	3091	protein tyrosine phosphatase activity	molecular_function	GO:0004725
383	2227	structural constituent of ribosome	molecular_function	GO:0003735
383	3827	intracellular	cellular_component	GO:0005622
383	4025	ribosome	cellular_component	GO:0005840
383	4556	translation	biological_process	GO:0006412
384	2783	glycolipid 2-alpha-mannosyltransferase activity	molecular_function	GO:0004377
384	4618	protein amino acid glycosylation	biological_process	GO:0006486
384	9320	membrane	cellular_component	GO:0016020
384	24	alpha-1,6-mannosyltransferase activity	molecular_function	GO:0000009
384	42	alpha-1,2-mannosyltransferase activity	molecular_function	GO:0000026
384	45	mannosyltransferase activity	molecular_function	GO:0000030
384	48	alpha-1,3-mannosyltransferase activity	molecular_function	GO:0000033
384	1170	alpha-1,3-galactosyltransferase activity	molecular_function	GO:0001962
384	2430	UDP-glucose:glycoprotein glucosyltransferase activity	molecular_function	GO:0003980
384	2782	glycolipid mannosyltransferase activity	molecular_function	GO:0004376
384	2953	oligosaccharyl transferase activity	molecular_function	GO:0004576
384	2959	dolichyl-phosphate-glucose-glycolipid alpha-glucosyltransferase activity	molecular_function	GO:0004583
384	6039	acetylglucosaminyltransferase activity	molecular_function	GO:0008375
384	6040	acetylgalactosaminyltransferase activity	molecular_function	GO:0008376
384	6042	galactosyltransferase activity	molecular_function	GO:0008378
384	6077	fucosyltransferase activity	molecular_function	GO:0008417
384	6376	O antigen polymerase activity	molecular_function	GO:0008755
384	6535	lipopolysaccharide-1,6-galactosyltransferase activity	molecular_function	GO:0008921
384	9532	UDP-N-acetylglucosamine-peptide N-acetylglucosaminyltransferase activity	molecular_function	GO:0016253
384	9958	cellulose synthase activity	molecular_function	GO:0016759
384	11017	9-phenanthrol UDP-glucuronosyltransferase activity	molecular_function	GO:0018715
384	11018	1-phenanthrol glycosyltransferase activity	molecular_function	GO:0018716
384	11019	9-phenanthrol glycosyltransferase activity	molecular_function	GO:0018717
384	11020	1,2-dihydroxy-phenanthrene glycosyltransferase activity	molecular_function	GO:0018718
384	11396	phenanthrol glycosyltransferase activity	molecular_function	GO:0019112
384	11466	beta-1,4-mannosyltransferase activity	molecular_function	GO:0019187
384	14119	alpha-1,2-galactosyltransferase activity	molecular_function	GO:0031278
384	16390	dolichyl pyrophosphate Man7GlcNAc2 alpha-1,3-glucosyltransferase activity	molecular_function	GO:0033556
384	17801	dolichyl pyrophosphate Man9GlcNAc2 alpha-1,3-glucosyltransferase activity	molecular_function	GO:0042281
384	17803	dolichyl pyrophosphate Glc1Man9GlcNAc2 alpha-1,3-glucosyltransferase activity	molecular_function	GO:0042283
384	19616	inositol phosphoceramide synthase activity	molecular_function	GO:0045140
384	20962	glucosyltransferase activity	molecular_function	GO:0046527
384	21342	alpha(1,3)-fucosyltransferase activity	molecular_function	GO:0046920
384	21343	alpha(1,6)-fucosyltransferase activity	molecular_function	GO:0046921
389	3420	Rab escort protein activity	molecular_function	GO:0005084
389	4994	intracellular protein transport	biological_process	GO:0006886
389	18580	regulation of GTPase activity	biological_process	GO:0043087
396	2176	DNA binding	molecular_function	GO:0003677
396	4440	DNA repair	biological_process	GO:0006281
396	2353	DNA-directed DNA polymerase activity	molecular_function	GO:0003887
396	4421	DNA replication	biological_process	GO:0006260
396	2290	catalytic activity	molecular_function	GO:0003824
396	16887	DNA polymerase activity	molecular_function	GO:0034061
404	4283	electron transport	biological_process	GO:0006118
404	9710	oxidoreductase activity	molecular_function	GO:0016491
404	23919	FAD binding	molecular_function	GO:0050660
404	3151	thioredoxin-disulfide reductase activity	molecular_function	GO:0004791
404	3930	cytoplasm	cellular_component	GO:0005737
404	11695	removal of superoxide radicals	biological_process	GO:0019430
410	2290	catalytic activity	molecular_function	GO:0003824
410	5830	metabolic process	biological_process	GO:0008152
410	13580	acetoacetate-CoA ligase activity	molecular_function	GO:0030729
411	3043	protein kinase activity	molecular_function	GO:0004672
411	3736	ATP binding	molecular_function	GO:0005524
411	4602	protein amino acid phosphorylation	biological_process	GO:0006468
411	3079	protein-tyrosine kinase activity	molecular_function	GO:0004713
411	3045	protein serine/threonine kinase activity	molecular_function	GO:0004674
411	3060	cyclin-dependent protein kinase activity	molecular_function	GO:0004693
423	6075	acyltransferase activity	molecular_function	GO:0008415
423	2534	carnitine O-acetyltransferase activity	molecular_function	GO:0004092
424	2196	transcription factor activity	molecular_function	GO:0003700
424	3838	nucleus	cellular_component	GO:0005634
424	4504	regulation of transcription, DNA-dependent	biological_process	GO:0006355
424	5939	zinc ion binding	molecular_function	GO:0008270
424	19030	sequence-specific DNA binding	molecular_function	GO:0043565
424	3642	sugar:hydrogen symporter activity	molecular_function	GO:0005351
424	4927	transport	biological_process	GO:0006810
424	6993	phosphoenolpyruvate-dependent sugar phosphotransferase system	biological_process	GO:0009401
436	2715	exo-alpha-sialidase activity	molecular_function	GO:0004308
441	4929	cation transport	biological_process	GO:0006812
441	5991	cation transmembrane transporter activity	molecular_function	GO:0008324
441	9320	membrane	cellular_component	GO:0016020
448	8445	hydrogen ion transmembrane transporter activity	molecular_function	GO:0015078
448	9691	proton-transporting two-sector ATPase complex	cellular_component	GO:0016469
448	9292	ATP synthesis coupled proton transport	biological_process	GO:0015986
448	21355	hydrogen ion transporting ATP synthase activity, rotational mechanism	molecular_function	GO:0046933
448	21380	hydrogen ion transporting ATPase activity, rotational mechanism	molecular_function	GO:0046961
448	10015	hydrolase activity, acting on acid anhydrides, catalyzing transmembrane movement of substances	molecular_function	GO:0016820
448	2390	hydrogen-transporting two-sector ATPase activity	molecular_function	GO:0003936
448	19729	proton-transporting ATP synthase complex	cellular_component	GO:0045259
455	12251	heme binding	molecular_function	GO:0020037
455	21336	transition metal ion binding	molecular_function	GO:0046914
461	18763	glutamate carboxypeptidase II activity	molecular_function	GO:0043275
466	6387	UDP-N-acetylmuramoylalanyl-D-glutamyl-2,6-diaminopimelate-D-alanyl-D-alanine ligase activity	molecular_function	GO:0008766
466	10509	ribosomal S6-glutamic acid ligase activity	molecular_function	GO:0018169
466	19237	coenzyme F420-0 gamma-glutamyl ligase activity	molecular_function	GO:0043773
466	19238	coenzyme F420-2 alpha-glutamyl ligase activity	molecular_function	GO:0043774
472	2176	DNA binding	molecular_function	GO:0003677
472	4504	regulation of transcription, DNA-dependent	biological_process	GO:0006355
479	3727	protein binding	molecular_function	GO:0005515
479	9366	RNA metabolic process	biological_process	GO:0016070
479	3708	binding	molecular_function	GO:0005488
480	3975	signal recognition particle, endoplasmic reticulum targeting	cellular_component	GO:0005786
480	4743	SRP-dependent cotranslational protein targeting to membrane	biological_process	GO:0006614
480	5980	7S RNA binding	molecular_function	GO:0008312
480	13788	endoplasmic reticulum signal peptide binding	molecular_function	GO:0030942
480	3727	protein binding	molecular_function	GO:0005515
480	20340	negative regulation of translational elongation	biological_process	GO:0045900
480	22828	signal recognition particle	cellular_component	GO:0048500
489	2176	DNA binding	molecular_function	GO:0003677
489	3736	ATP binding	molecular_function	GO:0005524
489	2175	nucleic acid binding	molecular_function	GO:0003676
489	2792	helicase activity	molecular_function	GO:0004386
489	3727	protein binding	molecular_function	GO:0005515
489	5939	zinc ion binding	molecular_function	GO:0008270
489	2450	ATP-dependent DNA helicase activity	molecular_function	GO:0004003
489	2451	ATP-dependent RNA helicase activity	molecular_function	GO:0004004
489	5716	ATP-dependent helicase activity	molecular_function	GO:0008026
489	5778	DNA-dependent ATPase activity	molecular_function	GO:0008094
489	5860	RNA-dependent ATPase activity	molecular_function	GO:0008186
489	8800	protein-transmembrane transporting ATPase activity	molecular_function	GO:0015462
489	10082	ATPase activity	molecular_function	GO:0016887
489	10273	single-stranded DNA-dependent ATP-dependent DNA helicase activity	molecular_function	GO:0017116
489	18132	ATPase activity, coupled	molecular_function	GO:0042623
489	18133	ATPase activity, uncoupled	molecular_function	GO:0042624
489	18134	ATPase activity, coupled to transmembrane movement of ions	molecular_function	GO:0042625
489	18135	ATPase activity, coupled to transmembrane movement of substances	molecular_function	GO:0042626
495	3736	ATP binding	molecular_function	GO:0005524
497	5906	cysteine-type peptidase activity	molecular_function	GO:0008234
500	3737	GTP binding	molecular_function	GO:0005525
500	5344	small GTPase mediated signal transduction	biological_process	GO:0007264
500	2378	GTPase activity	molecular_function	GO:0003924
500	3727	protein binding	molecular_function	GO:0005515
500	4994	intracellular protein transport	biological_process	GO:0006886
500	5019	nucleocytoplasmic transport	biological_process	GO:0006913
500	5250	signal transduction	biological_process	GO:0007165
500	3827	intracellular	cellular_component	GO:0005622
500	8400	protein transport	biological_process	GO:0015031
519	3433	Rab GTPase activator activity	molecular_function	GO:0005097
519	3827	intracellular	cellular_component	GO:0005622
519	15148	regulation of Rab GTPase activity	biological_process	GO:0032313
524	3433	Rab GTPase activator activity	molecular_function	GO:0005097
524	3827	intracellular	cellular_component	GO:0005622
524	15148	regulation of Rab GTPase activity	biological_process	GO:0032313
542	10026	carboxy-lyase activity	molecular_function	GO:0016831
542	12002	carboxylic acid metabolic process	biological_process	GO:0019752
542	13063	pyridoxal phosphate binding	molecular_function	GO:0030170
542	2757	glutamate decarboxylase activity	molecular_function	GO:0004351
543	2657	ubiquitin thiolesterase activity	molecular_function	GO:0004221
543	3827	intracellular	cellular_component	GO:0005622
543	4642	ubiquitin-dependent protein catabolic process	biological_process	GO:0006511
546	6099	inositol trisphosphate 3-kinase activity	molecular_function	GO:0008440
546	23776	inositol hexakisphosphate kinase activity	molecular_function	GO:0050517
548	3727	protein binding	molecular_function	GO:0005515
548	5939	zinc ion binding	molecular_function	GO:0008270
550	9985	hydrolase activity	molecular_function	GO:0016787
550	4542	mRNA processing	biological_process	GO:0006397
550	9986	hydrolase activity, acting on ester bonds	molecular_function	GO:0016788
550	2909	nuclease activity	molecular_function	GO:0004518
550	18089	phosphoric ester hydrolase activity	molecular_function	GO:0042578
550	19229	T/G mismatch-specific endonuclease activity	molecular_function	GO:0043765
556	2175	nucleic acid binding	molecular_function	GO:0003676
556	3827	intracellular	cellular_component	GO:0005622
556	5939	zinc ion binding	molecular_function	GO:0008270
574	2943	beta-galactosidase activity	molecular_function	GO:0004565
574	4143	carbohydrate metabolic process	biological_process	GO:0005975
