#proteinId	iprId	iprDesc	domainDb	domainId	domainDesc	numHits	domainStarts	domainEnds	score
235	IPR006662	Thioredoxin-related	FPrintScan	PR00421	THIOREDOXIN	3	49,57,99,	57,66,110,	5.3e-07,5.3e-07,5.3e-07
235	IPR013766	Thioredoxin domain	HMMPfam	PF00085	Thioredoxin	1	29,	140,	6e-32
235	IPR006662	Thioredoxin-related	ScanRegExp	PS00194	THIOREDOXIN	1	50,	68,	8e-5
235	IPR012336	Thioredoxin-like fold	superfamily	SSF52833	Thioredoxin-like	2	27,133,	137,248,	7.7e-26,3.5e-08
236	IPR006745	Protein of unknown function DUF605	HMMPfam	PF04652	DUF605	1	11,	310,	5.9e-80
238	IPR006076	FAD dependent oxidoreductase	HMMPfam	PF01266	DAO	1	38,	472,	3.1e-27
239	IPR011545	DNA/RNA helicase, DEAD/DEAH box type, N-terminal	HMMPfam	PF00270	DEAD	1	49,	223,	2.4e-52
239	IPR001650	DNA/RNA helicase, C-terminal	HMMPfam	PF00271	Helicase_C	1	375,	409,	2e-14
239	IPR014001	DEAD-like helicase, N-terminal	HMMSmart	SM00487	no description	1	44,	253,	2e-43
239	IPR001650	DNA/RNA helicase, C-terminal	HMMSmart	SM00490	no description	1	290,	409,	2.1e-22
239	IPR014021	Helicase, superfamily 1 and 2, ATP-binding	ProfileScan	PS51192	HELICASE_ATP_BIND_1	1	56,	234,	28.579
239	IPR001650	DNA/RNA helicase, C-terminal	ProfileScan	PS51194	HELICASE_CTER	1	249,	466,	13.083
239	IPR014014	RNA helicase, DEAD-box type, Q motif	ProfileScan	PS51195	Q_MOTIF	1	25,	53,	10.809
240	IPR005033	YEATS	HMMPfam	PF03366	YEATS	1	39,	122,	1.3e-41
240	IPR005033	YEATS	ProfileScan	PS51037	YEATS	1	14,	122,	25.080
250	IPR004226	Tubulin binding cofactor A	superfamily	SSF46988	Tubulin chaperone cofactor A	1	345,	444,	0.011
253	IPR001680	WD40 repeat	BlastProDom	PD000018	Q8BHB4_MOUSE_Q8BHB4;	4	103,484,580,664,	137,513,611,695,	3e-07,2e-05,3e-06,2e-06
253	IPR001680	WD40 repeat	FPrintScan	PR00320	GPROTEINBRPT	3	123,180,500,	137,194,514,	3.9e-06,3.9e-06,3.9e-06
253	IPR001680	WD40 repeat	HMMPfam	PF00400	WD40	10	70,98,140,197,394,475,542,574,616,658,	94,136,193,233,431,513,570,612,654,696,	0.00084,9.1e-11,0.0017,0.0096,2.2e-05,3.2e-08,0.0037,5.8e-08,7.1e-09,3.1e-08
253	IPR007148	Small-subunit processome, Utp12	HMMPfam	PF04003	Utp12	1	714,	936,	5.8e-76
253	IPR001680	WD40 repeat	HMMSmart	SM00320	no description	12	54,97,139,196,244,391,434,474,532,573,615,657,	94,136,193,233,284,431,471,513,570,612,654,696,	0.015,2.2e-09,0.026,2,2.8e+02,0.00041,1.5,9.5e-09,0.096,2.3e-07,6.4e-07,1.4e-06
253	IPR001680	WD40 repeat	ProfileScan	PS50082	WD_REPEATS_2	9	77,104,180,252,400,481,580,622,664,	103,137,202,293,440,515,621,654,696,	9.706,15.956,9.439,9.640,12.113,14.318,12.781,13.483,13.316
253	IPR001680	WD40 repeat	ProfileScan	PS50294	WD_REPEATS_REGION	1	46,	705,	63.829
253	IPR001680	WD40 repeat	ScanRegExp	PS00678	WD_REPEATS_1	4	123,180,418,500,	137,194,432,514,	NA,NA,NA,8e-5
253	IPR011046	WD40 repeat-like	superfamily	SSF50978	WD40 repeat-like	2	46,389,	326,717,	1e-43,3.2e-73
254	IPR005036	Putative phosphatase regulatory subunit	HMMPfam	PF03370	CBM_21	1	361,	475,	1.2e-13
254	IPR005036	Putative phosphatase regulatory subunit	ProfileScan	PS51159	CBM21	1	358,	475,	22.337
274	IPR000878	Tetrapyrrole methylase	HMMPfam	PF00590	TP_methylase	1	290,	499,	3.6e-57
274	IPR012066	Uroporphyrin-III C-methyltransferase, yeast	HMMPIR	PIRSF036555	Uroporphyrin-III C-methyltransferase, yeast type	1	4,	540,	4.2e-170
